Province,District,orgUnit,orgUnitOpenmrs,id
Tete,Changara,CS Dzunga,CS Dzunga,DPpYRj17uV1
Tete,Changara,CS Changara Sede,CS Changara,L62WV6AxXbu
Tete,Changara,CS Missaua,CS Missaua,vI8pjj6mcAu
Tete,Changara,CS Mazoe,CS Mazoe-Ponte,Toljlj09adn
Tete,Cidade de Tete,CS Nº 2 - Bairro Matundo,CS N2,BEIqK4935Si
Tete,Cidade de Tete,CS Mpadue,CS Mpadue,CjbDec4FkeU
Tete,Cidade de Tete,CS Nº 3 - Bairro Manyanga,CS N3,ris2tuYoYtW
Tete,Cidade de Tete,CS Nº 4 - Bairro Muthemba,CS N4,LoiUO8sLgRA
Tete,Cidade de Tete,HP Tete,HPT,cXKrZBbUhrD
Tete,Cidade de Tete,CS Nº 1 - Bairro Magaia,CS N1,RxiHBnSddHb
Tete,Mutarara,CS Inhangoma,CS Inhangoma,XV1d4AS1A7z
Tete,Mutarara,HR Mutarara,HR Mutarara,jrv5B2suUiV
Tete,Moatize,CS 25 de Setembro,CS 25 de Setmbro,GpVP3Er8tHH
Tete,Moatize,CS Zóbue,CS Zobue,xIElA3ybQ9K
Tete,Moatize,CS Moatize,CS Moatize,K3zTWxyKzE5
Tete,Moatize,CS Caphirizange,CS Capirizange,eeXvku5d78S
Tete,Moatize,CS CFM,CS CFM,EqSs8Eh9tZl
Tete,Moatize,CS Ncondedzi,CS Nkondedzi,eydYBmar8my
Tete,Moatize,CS Cateme,CS Cateme,HMVJTsa8OXT
Tete,Moatize,CS Mameme II,CS Mameme II,RHvxT0kh778
Tete,Angonia,CS Domue,CS Domue,MfZ1FGglCMh
Tete,Angonia,CS Lifidzi,CS Lifidzi,gkGCB2QSrvm
Tete,Angonia,HR Ulongue,HR Ulongue,lO1ZOpovYiZ
Tete,Angonia,CS Ulongue,CS Ulongue,sPZW2VMVI6B
Tete,Marara,CS Cachembe,CS Cachembe,hkIFBir1IrX
Tete,Marara,CS Boroma,CS Boroma,BxkIkDAITR2
Manica,Barue,CS Chiuala,CS Chiuala,fDqUIAimXAL
Manica,Barue,CS Nhassacara,CS Nhassacara,GsYcZ9h9BUK
Manica,Barue,CS Nhazonia,CS Nhazonia,d3aFvsvQ7O2
Manica,Barue,HD Catandica,HD Catandica,omMGWeMjO27
Manica,Barue,CS Honde,CS Honde,XOhxRL9w3Jt
Manica,Barue,CS Cruzamento de Macossa,CS Cruzamento de Macossa,rsZpZwTAPq1
Manica,Barue,CS Nhampassa,CS Nhampassa,xpFEJzy6IXt
Tete,Cahora Bassa,HR Songo,HR Songo,IMtx8G5tq4u
Tete,Cahora Bassa,CS Chitima,CS Chitima,e8wv3acHddB
Manica,Guro,CS Mandie,CS Mandie,wdaQR3Yk6ji
Manica,Guro,CS Guro-Sede,CS Guro Sede,X8TLq4JNXju
Tete,Macanga,CS Furancungo,CS Furancungo,RRFBArNZQqU
Tete,Chiuta,CS Manje,CS Manje,cngCCowWdet
Manica,Vanduzi,CS IAC,CS IAC,goKXBs7N5B8
Manica,Vanduzi,CS Matsinho,CS Matsinho,dVMKbEosMwp
Manica,Vanduzi,CS Pungue Sul,CS Pungue Sul,vtKfiT3Z1Co
Manica,Vanduzi,CS Vandúzi,CS Vanduzi,KImmzT8DzJ7
Manica,Vanduzi,CS Chigodore,CS Chigodole,RZSIFguHtRn
Manica,Macate,CS Zembe Centro,CS Bassane,JCaOI2EWde3
Manica,Macate,CS Macate,CS Macate,mNfnkeXdKxY
Manica,Macate,CS Marera,CS Zembe Centro,tkLybDtDdo0
Tete,Magoe,CS Daque,CS Daque,NE3tEHxUcic
Tete,Magoe,CS Mucumbura,CS Mucumbura,CAszGuhyUnC
Tete,Magoe,CS Magoe,CS Magoe,zo9yOvNADO0
Manica,Machaze,CS Bassane,CS Chipopopo,Sqry0ikIChZ
Manica,Machaze,CS Chipodji,CS Chitobe,MdN1RqeBzCP
Manica,Machaze,CS Chitobe,CS Marera,e3XMm8h8pJ3
Manica,Machaze,CS Mavende,CS Mavende,oi1t1JPUViW
Manica,Machaze,CS Save,CS Save,HZVnPphSXDJ
Manica,Machaze,CS Mazwissanga,CS Mavissanga,MfZ8vUFX3fM
Manica,Machaze,CS Chipopopo,CS Chipudje,wXsyilYI7PO
Manica,Mossurize,CS Dacata,CS Dacata,pdtUKo1EQzR
Manica,Mossurize,CS Mude,CS Mude,B0ndNKYIIDd
Manica,Mossurize,HD Espungabera,HD Espungabera,A4fQVrJD7Zd
Manica,Mossurize,CS Garagua,CS Garagua,OFV5FvycnU2
Manica,Mossurize,CS Chaiva,CS Chaiva,GY2vnTIADh1
Manica,Mossurize,CS Gunhe,CS Gunhe,djm9ORhcU3X
Manica,Mossurize,CS Mupengo,CS Mupengo,U7iWzT5xo5X
Manica,Manica,CS Messica,CS Messica,XUfVdKbiMwL
Manica,Manica,CS Machipanda,CS Machipanda,hPqiPGsEYv5
Manica,Manica,HD Manica,HD Manica,lT5Qs9ETV9s
Manica,Manica,CS 4º Congresso,CS 4º Congresso,rfn0xX7liVL
Sofala,Caia,CS Sena,CS Sena,wqEd97U0K52
Sofala,Caia,HD Caia,CS Caia,p798JDcqmrc
Sofala,Caia,CS Nhambalo,CS Nhambalo,ARq3tEA0xTJ
Sofala,Caia,CS MurraÃ§a,CS Murraca,zHiDaFKNWdi
Sofala,Gorongosa,CS Gorongosa ,CS Gorongosa,iLe1dgNMg89
Sofala,Chibabava,CS Chibabava -Sede,CS Chibabava Sede,mlOXv0OHQvf
Sofala,Chibabava,CS Hoode,CS Hoode,xeRs7aXKnm2
Sofala,Chibabava,HR Muxungue,HR Muxungue,LWmmJvxx1Gu
Sofala,Chibabava,CS Mutindire,CS Mutindiri,Zb6ryBo3GmN
Sofala,Cheringoma,HR Inhaminga,HR Inhaminga,qBXL4ozcMHG
Manica,Gondola,CS Inchope,CS Inchope,JlUMz2rDy1g
Manica,Gondola,CS Gondola Sede,HD Gondola,pELuhX7Rgup
Manica,Gondola,CS Amatongas,CS Amatonga,L7TkArEzSdW
Manica,Gondola,CS Muda Serração,CS Muda Serração,UzFYRpkVqN2
Sofala,Cidade da Beira,CS Ceramica,CS Cerâmica,JWkHE4YUUau
Sofala,Cidade da Beira,CS Chamba,CS Chamba,yVukesfhN7e
Sofala,Cidade da Beira,CS Manga Mascarenha,CS Mascarenhas,JEcWd2ZtbXW
Sofala,Cidade da Beira,CS Munhava,CS Munhava,bcmSNr2mpCs
Sofala,Cidade da Beira,CS Manga Nhaconjo,CS Nhaconjo,TulcwtPpnb8
Sofala,Cidade da Beira,CS Macurungo,CS Macurungo,C7aNdIzrk1P
Sofala,Cidade da Beira,CS Chota,CS Chota,AG0Ij65tpL5
Sofala,Cidade da Beira,CS Marrocanhe,CS Marocanhe,SpwE4sMebjN
Sofala,Cidade da Beira,CS Manga Loforte,Manga Loforte,IOginoM10CL
Sofala,Cidade da Beira,CS Matadoro,CS Matadouro,ZQyVTqYwqi6
Sofala,Cidade da Beira,HC Beira,Hospital Central da Beira,UuulAHWKfk9
Sofala,Cidade da Beira,CS Nhangau,CS Nhangau,wHarKyfDUwa
Sofala,Cidade da Beira,CS Ponta Gea,CS Ponta Gea,GJwxy5Apew7
Sofala,Nhamatanda,CS Nharuchonga,CS Nharuchonga,SGBoKQCD9yI
Sofala,Nhamatanda,CS Metuchira Lomaco,CS Metuchira,JNpcC8Vmf7o
Sofala,Nhamatanda,CS Chirassicua,CS Chirassicua,ZEzNCIIh8B2
Sofala,Nhamatanda,CS Siluvo CSRII,CS Siluvo,O7hrmPQMkpC
Sofala,Nhamatanda,CS Lamego,CS Lamego,Gb6NMzoxJ9y
Sofala,Nhamatanda,CS Tica CSRII,CS Tica,TDmBoHHdXcU
Sofala,Nhamatanda,HR Nhamatanda Sede,HR Nhamatanda,bOa7m01wjCc
Niassa,Cuamba,CS Mitucue,CS Mitucue,IHO6FqT2VCc
Niassa,Cuamba,CS Adine 3,CS Adine 3,L4A4cHnmqCy
Niassa,Cuamba,CS Cuamba,CS Cuamba,mY5o8jTjIKb
Niassa,Cuamba,HR Cuamba,HR Cuamba,qZAR8aTw3ok
Niassa,Cuamba,CS Meripo,CS Meripo,uSOgQiIsgwu
Sofala,Dondo,CS Savane,CS Savane,ZATPLvkZR0W
Sofala,Dondo,CS Canhandula,CS Canhandula,M3wyiBatqt0
Sofala,Dondo,CS Dondo Sede,CS Dondo,OOVQmzaYBir
Sofala,Dondo,CS Maxorote,CS Maxorote,j0ccY4zL81U
Sofala,Dondo,CS Samora Machel,CS Samora Machel,t9RIGm3h8DV
Sofala,Dondo,CS Igreja Baptista,CS Igreja Baptista,CHxnHTfZupS
Sofala,Dondo,CS Mafambisse,CS Mafambisse,QtNLat7uQMf
Sofala,Dondo,CS Mutua,CS Mutua,dWJ61DAg5kn
Manica,Cidade de Chimoio,CS Nhamaonha,CS Nhamaonha,g9AT6oQ6Uoi
Manica,Cidade de Chimoio,CS Vila Nova,CS Vila Nova,lR0tDnUzHdB
Manica,Cidade de Chimoio,HP Chimoio,HP Chimoio,oUykqIIWuIb
Manica,Cidade de Chimoio,CS Chissui,CS Chissui,aUtB6n9lhl4
Manica,Cidade de Chimoio,CS 7 de Abril,Centro de Saude 7 de Abril,SKLMPC7qDwD
Manica,Cidade de Chimoio,CS Eduardo Mondlane,CS Eduardo Mondlane,nT0RSdagl3c
Manica,Cidade de Chimoio,CS 1º de Maio,CS 1 de Maio,ZPCgEihjMiy
Manica,Sussundenga,CS Dombe,CS Dombe,gucAF89KSPW
Manica,Sussundenga,CS Sembezea,CS Sembezea,IVMLAFPrwB1
Manica,Sussundenga,CS Darue,CS Darue,VE6gqvIqNNU
Manica,Sussundenga,CS Sussundenga-Sede,CS Sussundenga,hzMMspjctBN
Manica,Sussundenga,CS Munhinga,CS Munhinga,QAbnMAYSwNt
Niassa,Cidade de Lichinga,CS Namacula,CS Namacula,v8IcierBRV0
Niassa,Cidade de Lichinga,CS Lulimire,CS Lulumile,rA2XtLlH4ZB
Niassa,Cidade de Lichinga,HP Lichinga,HP Lichinga,VKP8A0OwApk
Niassa,Cidade de Lichinga,CS Chiuaula,CS Chiuaula,jHlNl7FzWw1
Niassa,Cidade de Lichinga,CS Lichinga,CS Lichinga,kTLJHJShXJC
Sofala,Marromeu,HR Marromeu,HR Marromeu,zQrQsbs6EHX
Sofala,Marromeu,CS Nensa,CS Nensa,olAdg7i0qDZ
Niassa,Mecanhelas,CS Chisaua,CS Chisaua,yLGuFP6jHk4
Niassa,Mecanhelas,CS Mecanhelas,CS Mecanhelas,TJhnk83hQLW
Niassa,Mecanhelas,CS Entre-Lagos,CS Entre-Lagos,yDYqmDwiMUu
Niassa,Lago,CS Metangula,CS Metangula,pGcM8SNZ1uD
Niassa,Mandimba,CS Mitande,CS Mitande,mEd88tafLmT
Niassa,Mandimba,CS Mandimba,CS Mandimba,KqIfEtf5mj8
Niassa,Ngauma,CS Massangulo,CS Massangulo,i9cfzJGXjve
Niassa,Metarica,CS Metarica,CS Metarica,uLXgeGEYPsn
Sofala,Buzi,CS Bura,CS Bura,BDXebOcXCzA
Sofala,Buzi,CS Guara-Guara,CS Guara-Guara,A6UC3jvbYGo
Sofala,Buzi,CS Ampara,CS Ampara,barctDO0AlZ
Sofala,Buzi,CS Bandua,CS Bandua,enNmUo4i8I7
Sofala,Buzi,HR Buzi Sede,HR Buzi,a4N0oupiD9t
Sofala,Machanga,CS Machanga ,CS Machanga,OovZT6YXvH2